alert_id,day,alert_type,priority
ALT00001,1.0,High Downtime,High
ALT00002,1.0,High Reject Rate,Medium
ALT00003,2.0,High Reject Rate,Medium
ALT00004,3.0,High Downtime,High
ALT00005,3.0,High Reject Rate,Medium
ALT00006,4.0,High Reject Rate,Medium
ALT00007,5.0,High Downtime,High
ALT00008,5.0,High Reject Rate,Medium
ALT00009,6.0,High Downtime,High
ALT00010,6.0,High Reject Rate,Medium
ALT00011,7.0,High Downtime,High
ALT00012,7.0,High Reject Rate,Medium
ALT00013,8.0,High Downtime,High
ALT00014,8.0,High Reject Rate,Medium
ALT00015,9.0,High Reject Rate,Medium
ALT00016,10.0,High Downtime,High
ALT00017,10.0,High Reject Rate,Medium
ALT00018,11.0,High Downtime,High
ALT00019,11.0,High Reject Rate,Medium
ALT00020,12.0,High Downtime,High
ALT00021,12.0,High Reject Rate,Medium
ALT00022,13.0,High Downtime,High
ALT00023,13.0,High Reject Rate,Medium
ALT00024,14.0,High Downtime,High
ALT00025,14.0,High Reject Rate,Medium
ALT00026,15.0,High Reject Rate,Medium
ALT00027,16.0,High Downtime,High
ALT00028,16.0,High Reject Rate,Medium
ALT00029,17.0,High Downtime,High
ALT00030,17.0,High Reject Rate,Medium
ALT00031,18.0,High Downtime,High
ALT00032,18.0,High Reject Rate,Medium
ALT00033,19.0,High Reject Rate,Medium
ALT00034,20.0,High Downtime,High
ALT00035,20.0,High Reject Rate,Medium
ALT00036,21.0,High Downtime,High
ALT00037,21.0,High Reject Rate,Medium
ALT00038,22.0,High Downtime,High
ALT00039,22.0,High Reject Rate,Medium
ALT00040,23.0,High Downtime,High
ALT00041,23.0,High Reject Rate,Medium
ALT00042,24.0,High Downtime,High
ALT00043,24.0,High Reject Rate,Medium
ALT00044,25.0,High Downtime,High
ALT00045,25.0,High Reject Rate,Medium
ALT00046,26.0,High Downtime,High
ALT00047,26.0,High Reject Rate,Medium
ALT00048,27.0,High Downtime,High
ALT00049,27.0,High Reject Rate,Medium
ALT00050,28.0,High Downtime,High
ALT00051,28.0,High Reject Rate,Medium
ALT00052,29.0,High Downtime,High
ALT00053,29.0,High Reject Rate,Medium
ALT00054,30.0,High Downtime,High
ALT00055,30.0,High Reject Rate,Medium
ALT00056,31.0,High Downtime,High
ALT00057,31.0,High Reject Rate,Medium
ALT00058,32.0,High Downtime,High
ALT00059,32.0,High Reject Rate,Medium
ALT00060,33.0,High Downtime,High
ALT00061,33.0,High Reject Rate,Medium
ALT00062,34.0,High Downtime,High
ALT00063,34.0,High Reject Rate,Medium
ALT00064,35.0,High Downtime,High
ALT00065,35.0,High Reject Rate,Medium
ALT00066,36.0,High Downtime,High
ALT00067,36.0,High Reject Rate,Medium
ALT00068,37.0,High Downtime,High
ALT00069,37.0,High Reject Rate,Medium
ALT00070,38.0,High Downtime,High
ALT00071,38.0,High Reject Rate,Medium
ALT00072,39.0,High Downtime,High
ALT00073,39.0,High Reject Rate,Medium
ALT00074,40.0,High Downtime,High
ALT00075,40.0,High Reject Rate,Medium
ALT00076,41.0,High Downtime,High
ALT00077,41.0,High Reject Rate,Medium
ALT00078,42.0,High Downtime,High
ALT00079,42.0,High Reject Rate,Medium
ALT00080,43.0,High Downtime,High
ALT00081,43.0,High Reject Rate,Medium
ALT00082,44.0,High Downtime,High
ALT00083,44.0,High Reject Rate,Medium
ALT00084,45.0,High Downtime,High
ALT00085,45.0,High Reject Rate,Medium
ALT00086,46.0,High Downtime,High
ALT00087,46.0,High Reject Rate,Medium
ALT00088,47.0,High Downtime,High
ALT00089,47.0,High Reject Rate,Medium
ALT00090,48.0,High Downtime,High
ALT00091,48.0,High Reject Rate,Medium
ALT00092,49.0,High Downtime,High
ALT00093,49.0,High Reject Rate,Medium
ALT00094,50.0,High Downtime,High
ALT00095,50.0,High Reject Rate,Medium
ALT00096,51.0,High Downtime,High
ALT00097,51.0,High Reject Rate,Medium
ALT00098,52.0,High Downtime,High
ALT00099,52.0,High Reject Rate,Medium
ALT00100,53.0,High Downtime,High
ALT00101,53.0,High Reject Rate,Medium
ALT00102,54.0,High Downtime,High
ALT00103,54.0,High Reject Rate,Medium
ALT00104,55.0,High Downtime,High
ALT00105,55.0,High Reject Rate,Medium
ALT00106,56.0,High Downtime,High
ALT00107,56.0,High Reject Rate,Medium
ALT00108,57.0,High Downtime,High
ALT00109,57.0,High Reject Rate,Medium
ALT00110,58.0,High Downtime,High
ALT00111,58.0,High Reject Rate,Medium
ALT00112,59.0,High Downtime,High
ALT00113,59.0,High Reject Rate,Medium
ALT00114,60.0,High Downtime,High
ALT00115,60.0,High Reject Rate,Medium
ALT00116,61.0,High Downtime,High
ALT00117,61.0,High Reject Rate,Medium
ALT00118,62.0,High Downtime,High
ALT00119,62.0,High Reject Rate,Medium
ALT00120,63.0,High Downtime,High
ALT00121,63.0,High Reject Rate,Medium
ALT00122,64.0,High Downtime,High
ALT00123,64.0,High Reject Rate,Medium
ALT00124,65.0,High Downtime,High
ALT00125,65.0,High Reject Rate,Medium
ALT00126,66.0,High Downtime,High
ALT00127,66.0,High Reject Rate,Medium
ALT00128,67.0,High Downtime,High
ALT00129,67.0,High Reject Rate,Medium
ALT00130,68.0,High Downtime,High
ALT00131,68.0,High Reject Rate,Medium
ALT00132,69.0,High Downtime,High
ALT00133,69.0,High Reject Rate,Medium
ALT00134,70.0,High Downtime,High
ALT00135,70.0,High Reject Rate,Medium
ALT00136,71.0,High Downtime,High
ALT00137,71.0,High Reject Rate,Medium
ALT00138,72.0,High Downtime,High
ALT00139,72.0,High Reject Rate,Medium
ALT00140,73.0,High Downtime,High
ALT00141,73.0,High Reject Rate,Medium
ALT00142,74.0,High Downtime,High
ALT00143,74.0,High Reject Rate,Medium
ALT00144,75.0,High Downtime,High
ALT00145,75.0,High Reject Rate,Medium
ALT00146,76.0,High Downtime,High
ALT00147,76.0,High Reject Rate,Medium
ALT00148,77.0,High Downtime,High
ALT00149,77.0,High Reject Rate,Medium
ALT00150,78.0,High Downtime,High
ALT00151,78.0,High Reject Rate,Medium
ALT00152,79.0,High Downtime,High
ALT00153,79.0,High Reject Rate,Medium
ALT00154,80.0,High Downtime,High
ALT00155,80.0,High Reject Rate,Medium
ALT00156,81.0,High Downtime,High
ALT00157,81.0,High Reject Rate,Medium
ALT00158,82.0,High Downtime,High
ALT00159,82.0,High Reject Rate,Medium
ALT00160,83.0,High Downtime,High
ALT00161,83.0,High Reject Rate,Medium
ALT00162,84.0,High Downtime,High
ALT00163,84.0,High Reject Rate,Medium
ALT00164,85.0,High Downtime,High
ALT00165,85.0,High Reject Rate,Medium
ALT00166,86.0,High Downtime,High
ALT00167,86.0,High Reject Rate,Medium
ALT00168,87.0,High Reject Rate,Medium
ALT00169,88.0,High Downtime,High
ALT00170,88.0,High Reject Rate,Medium
ALT00171,89.0,High Downtime,High
ALT00172,89.0,High Reject Rate,Medium
ALT00173,90.0,High Downtime,High
ALT00174,90.0,High Reject Rate,Medium
ALT00175,91.0,High Downtime,High
ALT00176,91.0,High Reject Rate,Medium
ALT00177,92.0,High Downtime,High
ALT00178,92.0,High Reject Rate,Medium
ALT00179,93.0,High Downtime,High
ALT00180,93.0,High Reject Rate,Medium
ALT00181,94.0,High Downtime,High
ALT00182,94.0,High Reject Rate,Medium
ALT00183,95.0,High Downtime,High
ALT00184,95.0,High Reject Rate,Medium
ALT00185,96.0,High Downtime,High
ALT00186,96.0,High Reject Rate,Medium
