movement_id,production_order_id,material_id,material_name,movement_type,quantity,unit
SM0000001,PO000001,M001,Cast Iron,Consumption,16560.0,Kg
SM0000002,PO000001,M010,Lubricating Oil,Consumption,147.2,Litre
SM0000003,PO000001,M011,Industrial Coolant,Consumption,294.4,Litre
SM0000004,PO000002,M002,Forged Steel,Consumption,7370.0,Kg
SM0000005,PO000002,M010,Lubricating Oil,Consumption,100.5,Litre
SM0000006,PO000003,M004,Aluminium Alloy,Consumption,5552.0,Kg
SM0000007,PO000003,M011,Industrial Coolant,Consumption,173.5,Litre
SM0000008,PO000004,M003,Stainless Steel,Consumption,3848.0,Kg
SM0000009,PO000004,M012,Electronic Sensors,Consumption,962.0,Piece
SM0000010,PO000005,M002,Forged Steel,Consumption,3348.0,Kg
SM0000011,PO000005,M014,Hydraulic Fluid,Consumption,334.8,Litre
SM0000012,PO000006,M001,Cast Iron,Consumption,6664.0,Kg
SM0000013,PO000006,M015,Protective Coating,Consumption,142.8,Litre
SM0000014,PO000007,M001,Cast Iron,Consumption,17145.0,Kg
SM0000015,PO000007,M010,Lubricating Oil,Consumption,152.4,Litre
SM0000016,PO000007,M011,Industrial Coolant,Consumption,304.8,Litre
SM0000017,PO000008,M002,Forged Steel,Consumption,6688.0,Kg
SM0000018,PO000008,M010,Lubricating Oil,Consumption,91.2,Litre
SM0000019,PO000009,M004,Aluminium Alloy,Consumption,6608.0,Kg
SM0000020,PO000009,M011,Industrial Coolant,Consumption,206.5,Litre
SM0000021,PO000010,M003,Stainless Steel,Consumption,3600.0,Kg
SM0000022,PO000010,M012,Electronic Sensors,Consumption,900.0,Piece
SM0000023,PO000011,M002,Forged Steel,Consumption,3636.0,Kg
SM0000024,PO000011,M014,Hydraulic Fluid,Consumption,363.6,Litre
SM0000025,PO000012,M001,Cast Iron,Consumption,7840.0,Kg
SM0000026,PO000012,M015,Protective Coating,Consumption,168.0,Litre
SM0000027,PO000013,M001,Cast Iron,Consumption,17460.0,Kg
SM0000028,PO000013,M010,Lubricating Oil,Consumption,155.2,Litre
SM0000029,PO000013,M011,Industrial Coolant,Consumption,310.4,Litre
SM0000030,PO000014,M002,Forged Steel,Consumption,7546.0,Kg
SM0000031,PO000014,M010,Lubricating Oil,Consumption,102.9,Litre
SM0000032,PO000015,M004,Aluminium Alloy,Consumption,6016.0,Kg
SM0000033,PO000015,M011,Industrial Coolant,Consumption,188.0,Litre
SM0000034,PO000016,M003,Stainless Steel,Consumption,3520.0,Kg
SM0000035,PO000016,M012,Electronic Sensors,Consumption,880.0,Piece
SM0000036,PO000017,M002,Forged Steel,Consumption,3288.0,Kg
SM0000037,PO000017,M014,Hydraulic Fluid,Consumption,328.8,Litre
SM0000038,PO000018,M001,Cast Iron,Consumption,7532.0,Kg
SM0000039,PO000018,M015,Protective Coating,Consumption,161.4,Litre
SM0000040,PO000019,M001,Cast Iron,Consumption,16380.0,Kg
SM0000041,PO000019,M010,Lubricating Oil,Consumption,145.6,Litre
SM0000042,PO000019,M011,Industrial Coolant,Consumption,291.2,Litre
SM0000043,PO000020,M002,Forged Steel,Consumption,7612.0,Kg
SM0000044,PO000020,M010,Lubricating Oil,Consumption,103.8,Litre
SM0000045,PO000021,M004,Aluminium Alloy,Consumption,5392.0,Kg
SM0000046,PO000021,M011,Industrial Coolant,Consumption,168.5,Litre
SM0000047,PO000022,M003,Stainless Steel,Consumption,3400.0,Kg
SM0000048,PO000022,M012,Electronic Sensors,Consumption,850.0,Piece
SM0000049,PO000023,M002,Forged Steel,Consumption,3564.0,Kg
SM0000050,PO000023,M014,Hydraulic Fluid,Consumption,356.4,Litre
SM0000051,PO000024,M001,Cast Iron,Consumption,7028.0,Kg
SM0000052,PO000024,M015,Protective Coating,Consumption,150.6,Litre
SM0000053,PO000025,M001,Cast Iron,Consumption,17955.0,Kg
SM0000054,PO000025,M010,Lubricating Oil,Consumption,159.6,Litre
SM0000055,PO000025,M011,Industrial Coolant,Consumption,319.2,Litre
SM0000056,PO000026,M002,Forged Steel,Consumption,7590.0,Kg
SM0000057,PO000026,M010,Lubricating Oil,Consumption,103.5,Litre
SM0000058,PO000027,M004,Aluminium Alloy,Consumption,5824.0,Kg
SM0000059,PO000027,M011,Industrial Coolant,Consumption,182.0,Litre
SM0000060,PO000028,M003,Stainless Steel,Consumption,3824.0,Kg
SM0000061,PO000028,M012,Electronic Sensors,Consumption,956.0,Piece
SM0000062,PO000029,M002,Forged Steel,Consumption,3480.0,Kg
SM0000063,PO000029,M014,Hydraulic Fluid,Consumption,348.0,Litre
SM0000064,PO000030,M001,Cast Iron,Consumption,6972.0,Kg
SM0000065,PO000030,M015,Protective Coating,Consumption,149.4,Litre
SM0000066,PO000031,M001,Cast Iron,Consumption,18090.0,Kg
SM0000067,PO000031,M010,Lubricating Oil,Consumption,160.8,Litre
SM0000068,PO000031,M011,Industrial Coolant,Consumption,321.6,Litre
SM0000069,PO000032,M002,Forged Steel,Consumption,8162.0,Kg
SM0000070,PO000032,M010,Lubricating Oil,Consumption,111.3,Litre
SM0000071,PO000033,M004,Aluminium Alloy,Consumption,5936.0,Kg
SM0000072,PO000033,M011,Industrial Coolant,Consumption,185.5,Litre
SM0000073,PO000034,M003,Stainless Steel,Consumption,3200.0,Kg
SM0000074,PO000034,M012,Electronic Sensors,Consumption,800.0,Piece
SM0000075,PO000035,M002,Forged Steel,Consumption,3624.0,Kg
SM0000076,PO000035,M014,Hydraulic Fluid,Consumption,362.4,Litre
SM0000077,PO000036,M001,Cast Iron,Consumption,8148.0,Kg
SM0000078,PO000036,M015,Protective Coating,Consumption,174.6,Litre
SM0000079,PO000037,M001,Cast Iron,Consumption,17685.0,Kg
SM0000080,PO000037,M010,Lubricating Oil,Consumption,157.2,Litre
SM0000081,PO000037,M011,Industrial Coolant,Consumption,314.4,Litre
SM0000082,PO000038,M002,Forged Steel,Consumption,7986.0,Kg
SM0000083,PO000038,M010,Lubricating Oil,Consumption,108.9,Litre
SM0000084,PO000039,M004,Aluminium Alloy,Consumption,6208.0,Kg
SM0000085,PO000039,M011,Industrial Coolant,Consumption,194.0,Litre
SM0000086,PO000040,M003,Stainless Steel,Consumption,3296.0,Kg
SM0000087,PO000040,M012,Electronic Sensors,Consumption,824.0,Piece
SM0000088,PO000041,M002,Forged Steel,Consumption,4020.0,Kg
SM0000089,PO000041,M014,Hydraulic Fluid,Consumption,402.0,Litre
SM0000090,PO000042,M001,Cast Iron,Consumption,7588.0,Kg
SM0000091,PO000042,M015,Protective Coating,Consumption,162.6,Litre
SM0000092,PO000043,M001,Cast Iron,Consumption,18180.0,Kg
SM0000093,PO000043,M010,Lubricating Oil,Consumption,161.6,Litre
SM0000094,PO000043,M011,Industrial Coolant,Consumption,323.2,Litre
SM0000095,PO000044,M002,Forged Steel,Consumption,6996.0,Kg
