machine_id,day,runtime_minutes,utilization_percent,health_score,temperature_c,vibration_mm_s,power_consumption_kw,failure_event
M001,1,664,92.22,94.95,55.0,1.76,15.17,0
M002,1,616,85.56,96.23,62.7,1.4,18.47,0
M003,1,614,85.28,88.39,55.9,2.07,5.12,0
M004,1,468,65.0,92.96,45.7,1.14,15.7,0
M005,1,530,73.61,94.73,58.5,1.76,11.66,0
M006,1,512,71.11,93.05,58.1,1.35,4.83,0
M007,1,671,93.19,89.88,57.1,2.0,16.81,0
M008,1,459,63.75,90.15,61.2,0.81,10.44,0
M009,1,513,71.25,90.41,59.3,1.62,5.59,0
M010,1,504,70.0,89.49,53.8,2.13,6.76,0
M011,1,688,95.56,97.84,45.7,1.56,21.14,1
M012,1,464,64.44,90.84,63.4,1.3,5.44,0
M013,1,502,69.72,88.92,56.0,1.08,30.69,0
M014,1,514,71.39,94.38,51.1,0.86,5.89,0
M015,1,681,94.58,96.64,45.2,1.74,3.89,0
M016,1,665,92.36,96.79,47.0,1.47,24.65,0
M017,1,456,63.33,89.58,46.4,1.52,20.8,0
M018,1,546,75.83,94.86,61.6,1.68,5.18,0
M001,2,584,81.11,96.54,52.9,1.75,19.88,0
M002,2,485,67.36,93.17,62.5,1.52,15.06,0
M003,2,674,93.61,96.43,46.8,0.85,3.91,0
M004,2,609,84.58,90.99,51.9,1.72,14.61,0
M005,2,660,91.67,93.56,59.0,2.03,12.18,0
M006,2,713,99.03,89.44,55.7,1.78,3.73,0
M007,2,558,77.5,97.54,51.5,1.13,13.34,0
M008,2,518,71.94,97.01,53.6,1.38,10.43,0
M009,2,491,68.19,96.74,59.3,1.08,4.03,0
M010,2,686,95.28,89.82,49.2,2.04,7.13,0
M011,2,674,93.61,92.06,54.2,1.82,17.23,1
M012,2,483,67.08,98.53,48.9,2.18,5.55,0
M013,2,701,97.36,94.36,46.1,1.6,37.74,0
M014,2,663,92.08,92.74,60.3,1.0,4.91,1
M015,2,475,65.97,93.97,58.8,1.91,5.47,0
M016,2,425,59.03,89.12,49.9,1.81,24.34,0
M017,2,702,97.5,91.83,60.3,0.84,20.64,0
M018,2,697,96.81,94.67,64.6,0.94,4.62,1
M001,3,628,87.22,90.32,49.5,1.04,15.04,0
M002,3,716,99.44,97.32,62.0,1.43,16.62,0
M003,3,616,85.56,97.22,49.2,0.85,4.52,0
M004,3,595,82.64,91.43,57.2,1.68,15.23,0
M005,3,613,85.14,89.75,50.6,1.11,13.72,0
M006,3,660,91.67,98.43,46.4,1.6,3.65,0
M007,3,604,83.89,92.08,46.9,1.83,13.6,0
M008,3,553,76.81,93.18,57.1,2.01,10.75,0
M009,3,606,84.17,88.44,57.4,1.8,4.13,0
M010,3,550,76.39,92.89,63.4,2.01,5.67,0
M011,3,538,74.72,97.46,62.6,1.62,21.48,0
M012,3,660,91.67,98.21,49.0,1.15,3.74,1
M013,3,511,70.97,93.73,48.7,1.58,26.62,0
M014,3,586,81.39,97.27,55.1,1.52,5.18,0
M015,3,499,69.31,97.22,60.8,1.66,4.56,0
M016,3,547,75.97,89.66,47.8,0.88,23.55,0
M017,3,622,86.39,93.92,58.1,2.06,19.26,0
M018,3,627,87.08,96.15,55.1,1.38,4.03,0
M001,4,608,84.44,97.16,51.0,2.08,16.95,0
M002,4,530,73.61,92.62,61.0,1.03,18.2,0
M003,4,545,75.69,89.36,53.2,2.07,4.38,0
M004,4,486,67.5,92.48,63.6,2.15,11.13,0
M005,4,617,85.69,97.56,61.6,0.92,9.21,0
M006,4,665,92.36,88.61,45.3,1.25,5.16,0
M007,4,450,62.5,88.16,53.3,1.53,15.22,0
M008,4,565,78.47,91.85,60.3,1.64,9.36,0
M009,4,700,97.22,95.85,63.8,0.92,4.99,0
M010,4,556,77.22,89.4,50.6,1.09,4.92,0
M011,4,488,67.78,89.98,48.2,1.41,17.23,0
M012,4,420,58.33,98.79,60.8,0.87,5.52,0
M013,4,672,93.33,89.08,59.7,1.95,30.56,0
M014,4,715,99.31,93.94,58.5,1.95,6.67,0
M015,4,686,95.28,95.31,61.4,1.9,4.17,0
M016,4,573,79.58,93.3,51.2,1.39,19.12,0
M017,4,534,74.17,97.17,48.1,2.15,17.38,0
M018,4,624,86.67,92.48,54.9,0.92,3.74,0
M001,5,449,62.36,92.55,45.9,1.03,14.11,0
M002,5,671,93.19,98.03,49.8,1.12,19.39,0
M003,5,587,81.53,94.28,59.9,0.95,4.5,0
M004,5,497,69.03,98.8,64.8,1.06,15.12,0
M005,5,602,83.61,95.2,47.3,1.04,9.43,0
M006,5,420,58.33,96.89,65.0,1.05,4.85,0
M007,5,689,95.69,88.58,62.2,1.01,17.43,0
M008,5,674,93.61,94.45,58.5,0.87,10.6,0
M009,5,680,94.44,91.15,63.9,1.96,5.38,0
M010,5,527,73.19,90.51,56.8,1.02,5.1,0
M011,5,496,68.89,95.79,50.0,1.28,18.59,0
M012,5,702,97.5,95.86,58.3,1.82,4.42,0
M013,5,445,61.81,88.1,55.2,1.16,29.56,0
M014,5,585,81.25,92.7,58.5,1.87,6.9,0
M015,5,514,71.39,87.84,55.0,2.15,3.91,0
M016,5,542,75.28,93.45,48.7,1.2,18.1,0
M017,5,595,82.64,96.63,61.7,0.82,14.83,0
M018,5,678,94.17,90.83,63.6,1.56,5.22,0
M001,6,440,61.11,92.73,60.2,1.59,15.76,0
M002,6,452,62.78,92.91,57.3,2.14,15.63,0
M003,6,650,90.28,90.6,58.6,2.03,4.43,1
M004,6,537,74.58,88.13,54.0,1.45,15.86,0
M005,6,699,97.08,98.2,60.6,2.05,13.04,0
M006,6,674,93.61,98.7,47.5,1.74,5.68,0
M007,6,588,81.67,89.69,51.7,0.84,15.36,0
M008,6,552,76.67,89.67,53.8,1.17,8.72,0
M009,6,567,78.75,91.17,65.0,1.58,5.39,1
M010,6,542,75.28,88.44,48.9,1.88,5.75,0
M011,6,693,96.25,92.96,47.0,1.75,18.09,0
M012,6,516,71.67,93.82,61.4,0.86,3.78,0
M013,6,494,68.61,91.53,65.1,1.78,28.92,0
M014,6,619,85.97,96.5,53.2,1.96,6.54,0
M015,6,720,100.0,96.08,58.5,2.2,4.64,0
M016,6,618,85.83,91.34,49.0,2.07,18.18,0
M017,6,610,84.72,94.92,62.3,2.01,19.69,0
M018,6,707,98.19,96.18,56.3,1.49,3.85,0
M001,7,582,80.83,90.43,47.5,1.4,18.32,0
M002,7,552,76.67,96.59,65.0,1.23,16.0,0
M003,7,573,79.58,92.32,47.0,1.21,4.7,0
M004,7,471,65.42,91.81,62.9,1.19,12.14,0
M005,7,538,74.72,88.31,63.4,1.9,12.74,0
M006,7,699,97.08,90.99,60.2,1.26,5.53,0
M007,7,590,81.94,90.79,56.9,0.94,15.34,0
M008,7,604,83.89,92.29,63.1,1.07,8.6,0
M009,7,711,98.75,95.53,59.7,1.96,5.15,0
M010,7,680,94.44,90.38,56.9,1.8,7.16,0
M011,7,541,75.14,88.45,55.8,1.75,18.54,0
M012,7,716,99.44,90.95,53.7,2.01,4.65,0
M013,7,627,87.08,94.17,61.6,1.8,37.54,0
M014,7,440,61.11,90.33,53.3,0.87,5.57,0
M015,7,421,58.47,94.85,47.3,1.97,3.9,0
M016,7,483,67.08,97.33,58.8,1.41,20.12,0
M017,7,525,72.92,92.08,50.1,1.78,15.31,0
M018,7,421,58.47,92.58,60.2,1.93,4.03,0
M001,8,567,78.75,89.3,61.0,1.4,17.72,0
M002,8,534,74.17,92.59,53.0,1.22,14.9,0
M003,8,428,59.44,96.25,56.4,1.39,3.9,0
M004,8,609,84.58,93.39,61.4,1.22,10.93,0
M005,8,474,65.83,90.4,58.7,1.98,12.22,0
M006,8,691,95.97,97.8,64.4,2.18,5.05,0
M007,8,710,98.61,91.45,59.7,1.1,16.87,0
M008,8,522,72.5,94.57,52.4,2.18,9.82,0
M009,8,586,81.39,88.24,51.9,1.48,5.61,0
M010,8,459,63.75,88.72,49.4,1.17,7.59,0
M011,8,700,97.22,92.64,47.1,1.85,23.03,0
M012,8,563,78.19,94.66,63.8,2.06,3.8,0
M013,8,694,96.39,95.79,50.7,1.17,34.6,0
M014,8,670,93.06,96.76,47.1,1.4,7.39,0
M015,8,638,88.61,95.24,48.7,1.89,5.66,0
M016,8,560,77.78,89.73,49.0,1.14,20.08,0
M017,8,451,62.64,95.04,63.4,1.0,18.03,0
M018,8,573,79.58,96.89,48.4,1.81,3.96,0
M001,9,509,70.69,95.07,49.4,1.0,14.03,0
M002,9,505,70.14,90.58,64.5,1.62,20.12,0
M003,9,588,81.67,97.51,56.9,2.23,4.49,0
M004,9,647,89.86,90.8,60.6,1.15,13.36,0
M005,9,694,96.39,92.89,47.7,1.66,12.87,0
M006,9,477,66.25,93.85,61.5,1.76,3.98,0
M007,9,484,67.22,90.43,46.8,2.04,12.58,0
M008,9,467,64.86,90.56,54.0,1.01,8.06,0
M009,9,532,73.89,95.46,53.8,1.04,3.77,0
M010,9,655,90.97,89.53,60.8,2.0,6.97,0
M011,9,435,60.42,88.67,47.0,1.88,19.21,0
M012,9,644,89.44,96.26,60.3,1.37,5.11,0
M013,9,580,80.56,91.94,60.3,2.12,25.19,0
M014,9,715,99.31,93.66,48.5,1.58,5.61,0
M015,9,441,61.25,91.12,46.0,1.54,4.99,0
M016,9,613,85.14,91.5,55.9,1.34,23.91,0
M017,9,496,68.89,96.43,46.2,2.21,14.51,0
M018,9,441,61.25,93.87,50.2,1.49,4.89,0
M001,10,601,83.47,96.43,64.3,1.72,14.62,0
M002,10,557,77.36,96.3,56.1,2.03,20.25,0
M003,10,553,76.81,94.58,64.3,2.02,5.55,0
M004,10,613,85.14,95.62,50.3,1.74,11.69,0
M005,10,571,79.31,95.6,51.4,1.75,9.11,0
M006,10,486,67.5,91.59,51.7,1.56,3.77,0
M007,10,619,85.97,90.67,60.5,1.38,18.06,0
M008,10,626,86.94,96.22,49.0,1.36,10.83,0
M009,10,463,64.31,92.85,55.8,1.97,4.71,0
M010,10,431,59.86,96.03,55.2,1.36,7.55,0
M011,10,488,67.78,92.63,46.2,0.94,15.5,0
M012,10,542,75.28,89.96,49.3,2.22,4.83,0
M013,10,482,66.94,92.05,47.3,1.01,31.37,0
M014,10,483,67.08,93.57,57.8,1.12,5.41,0
M015,10,585,81.25,98.76,46.7,1.38,5.18,0
M016,10,674,93.61,96.02,55.3,1.38,23.8,0
M017,10,424,58.89,87.84,45.8,2.02,19.2,0
M018,10,485,67.36,96.82,52.1,0.87,4.64,0
M001,11,481,66.81,97.99,59.0,2.15,17.9,0
M002,11,449,62.36,88.38,58.2,2.0,14.04,0
M003,11,538,74.72,91.95,60.5,2.02,3.96,0
M004,11,530,73.61,94.25,52.1,0.94,11.38,0
M005,11,570,79.17,89.0,52.5,2.13,13.16,0
M006,11,622,86.39,92.12,47.5,1.88,4.5,0
M007,11,441,61.25,97.82,52.6,0.95,16.25,0
M008,11,433,60.14,91.76,49.9,0.97,10.42,0
M009,11,594,82.5,91.38,56.8,1.53,5.38,0
M010,11,707,98.19,94.79,50.8,1.14,4.91,0
M011,11,703,97.64,87.62,51.4,1.45,20.84,0
M012,11,690,95.83,89.24,59.7,1.16,5.0,0
M013,11,429,59.58,94.4,59.7,1.36,28.0,0
M014,11,428,59.44,95.46,53.5,1.22,6.4,0
M015,11,635,88.19,95.98,51.4,1.39,4.87,0
M016,11,653,90.69,88.56,57.1,1.06,23.97,0
M017,11,709,98.47,88.88,58.0,1.53,14.7,0
M018,11,517,71.81,88.65,61.2,1.95,4.5,0
M001,12,448,62.22,91.95,53.2,2.23,19.08,0
M002,12,435,60.42,94.73,65.2,1.15,17.87,0
M003,12,605,84.03,94.53,56.4,1.59,5.32,0
M004,12,421,58.47,97.23,48.4,2.06,14.64,0
M005,12,701,97.36,96.28,56.1,1.43,12.47,1
M006,12,701,97.36,91.79,61.8,1.38,4.61,0
M007,12,494,68.61,95.85,63.7,1.27,17.9,0
M008,12,624,86.67,93.6,55.7,1.95,7.37,0
M009,12,504,70.0,92.91,54.1,0.88,5.46,0
M010,12,448,62.22,88.64,46.9,1.37,6.51,0
M011,12,433,60.14,88.24,50.9,1.59,20.31,0
M012,12,584,81.11,88.17,49.4,1.1,4.53,0
M013,12,493,68.47,88.14,63.3,1.72,32.38,0
M014,12,449,62.36,95.42,62.8,1.03,6.47,0
M015,12,704,97.78,96.23,54.9,1.54,3.7,0
M016,12,454,63.06,96.09,55.9,1.4,20.05,0
M017,12,538,74.72,88.67,63.9,2.14,20.25,0
M018,12,659,91.53,93.7,63.2,0.89,3.81,0
M001,13,420,58.33,91.8,65.0,1.47,16.8,0
M002,13,596,82.78,91.77,56.3,1.51,17.76,0
M003,13,506,70.28,97.09,56.0,1.04,3.8,0
M004,13,447,62.08,90.23,54.7,1.17,11.69,0
M005,13,675,93.75,94.98,48.5,1.07,11.58,0
M006,13,694,96.39,96.77,64.8,1.12,4.75,0
M007,13,671,93.19,96.05,62.6,1.48,17.76,0
M008,13,478,66.39,96.97,45.9,1.79,10.35,0
M009,13,431,59.86,92.84,53.8,1.62,3.85,0
M010,13,451,62.64,91.74,60.9,1.17,7.02,0
M011,13,421,58.47,91.79,49.9,1.75,20.9,0
M012,13,621,86.25,94.9,65.5,0.86,5.04,0
M013,13,496,68.89,95.55,64.9,1.9,31.95,0
M014,13,440,61.11,93.62,58.0,1.78,6.99,0
M015,13,501,69.58,88.72,64.6,2.06,4.08,0
M016,13,641,89.03,98.18,51.1,1.82,27.27,0
M017,13,682,94.72,93.78,58.0,0.96,20.61,0
M018,13,438,60.83,95.17,63.3,1.32,4.42,0
M001,14,515,71.53,87.7,64.5,1.26,18.03,0
M002,14,673,93.47,94.18,57.0,1.64,17.03,0
M003,14,486,67.5,90.95,61.3,1.57,5.03,1
M004,14,515,71.53,94.83,63.3,1.39,16.27,0
M005,14,619,85.97,91.6,45.9,1.82,10.47,0
M006,14,595,82.64,96.95,54.7,1.11,3.89,0
M007,14,570,79.17,89.62,60.5,2.2,17.53,0
M008,14,533,74.03,97.13,64.1,2.23,7.89,0
M009,14,587,81.53,89.4,49.4,1.9,4.42,0
M010,14,507,70.42,91.86,56.3,2.05,5.84,0
M011,14,678,94.17,88.53,58.4,1.33,23.37,0
M012,14,706,98.06,90.98,51.1,1.94,3.62,0
M013,14,481,66.81,96.94,62.4,1.97,32.39,0
M014,14,521,72.36,93.11,46.5,1.65,5.39,0
M015,14,586,81.39,90.87,49.6,1.99,4.9,0
M016,14,634,88.06,92.54,54.3,1.57,18.48,0
M017,14,556,77.22,98.1,51.4,2.09,13.87,0
M018,14,510,70.83,92.43,57.3,2.15,3.73,0
M001,15,487,67.64,96.0,55.9,1.34,19.11,0
M002,15,490,68.06,97.68,54.2,2.16,19.85,0
M003,15,632,87.78,96.16,48.9,1.46,4.31,0
M004,15,563,78.19,93.46,61.4,1.72,15.29,0
M005,15,511,70.97,93.04,47.3,1.68,14.17,0
M006,15,423,58.75,97.36,50.2,1.97,4.09,0
M007,15,487,67.64,94.33,51.9,2.21,13.46,0
M008,15,666,92.5,87.94,48.9,1.75,8.47,0
M009,15,688,95.56,94.27,48.8,1.75,5.05,0
M010,15,636,88.33,92.3,58.2,1.52,4.82,0
M011,15,683,94.86,98.16,64.2,2.13,16.91,0
M012,15,698,96.94,96.5,48.2,1.08,5.45,0
M013,15,576,80.0,94.51,55.9,1.93,30.85,0
M014,15,703,97.64,92.75,55.6,1.09,6.08,0
M015,15,599,83.19,92.79,58.1,1.89,4.4,0
M016,15,436,60.56,90.95,58.9,1.6,27.45,0
M017,15,472,65.56,91.72,48.0,1.11,13.69,0
