record_id,production_order_id,machine_id,operator_id,planned_quantity,actual_quantity,rejected_quantity,runtime_minutes,downtime_minutes,machine_health,efficiency_percent
PR000001,PO000001,M003,EMP000191,374,368,6,6745,13,91.23,88.4
PR000002,PO000002,M006,EMP000414,339,335,4,5104,19,87.5,83.16
PR000003,PO000003,M007,EMP000038,353,347,6,5652,4,96.63,93.97
PR000004,PO000004,M010,EMP000097,486,481,5,5838,6,95.93,93.66
PR000005,PO000005,M015,EMP000015,283,279,4,3978,16,90.6,86.19
PR000006,PO000006,M017,EMP000398,242,238,4,4860,20,88.19,86.59
PR000007,PO000007,M001,EMP000345,387,381,6,6968,2,98.44,97.49
PR000008,PO000008,M006,EMP000206,307,304,3,4611,6,95.02,93.6
PR000009,PO000009,M007,EMP000312,419,413,6,6720,16,87.47,84.18
PR000010,PO000010,M012,EMP000135,453,450,3,5438,2,97.94,97.78
PR000011,PO000011,M014,EMP000405,307,303,4,4316,18,85.26,82.05
PR000012,PO000012,M016,EMP000008,284,280,4,5696,16,90.33,87.38
PR000013,PO000013,M002,EMP000062,395,388,7,7135,25,85.75,85.68
PR000014,PO000014,M004,EMP000153,347,343,4,5218,13,93.15,88.99
PR000015,PO000015,M007,EMP000084,384,376,8,6154,10,92.86,89.14
PR000016,PO000016,M011,EMP000185,444,440,4,5335,7,95.97,95.68
PR000017,PO000017,M014,EMP000254,277,274,3,3894,16,90.99,86.82
PR000018,PO000018,M017,EMP000263,274,269,5,5503,23,85.67,85.16
PR000019,PO000019,M002,EMP000323,370,364,6,6675,15,88.55,85.27
PR000020,PO000020,M005,EMP000354,350,346,4,5253,3,98.11,95.32
PR000021,PO000021,M007,EMP000070,344,337,7,5512,8,95.03,91.66
PR000022,PO000022,M012,EMP000419,429,425,4,5161,13,89.26,85.3
PR000023,PO000023,M013,EMP000028,301,297,4,4230,16,90.58,87.91
PR000024,PO000024,M017,EMP000181,257,251,6,5144,4,97.87,95.12
PR000025,PO000025,M003,EMP000158,406,399,7,7313,5,96.36,93.19
PR000026,PO000026,M005,EMP000252,349,345,4,5252,17,87.5,84.77
PR000027,PO000027,M009,EMP000117,370,364,6,5935,15,91.35,89.55
PR000028,PO000028,M012,EMP000014,482,478,4,5786,2,98.32,98.15
PR000029,PO000029,M015,EMP000028,293,290,3,4125,23,82.28,77.83
PR000030,PO000030,M018,EMP000197,255,249,6,5101,1,98.73,97.16
PR000031,PO000031,M002,EMP000358,408,402,6,7347,3,98.04,93.44
PR000032,PO000032,M006,EMP000284,375,371,4,5638,13,91.7,91.23
PR000033,PO000033,M009,EMP000339,377,371,6,6053,21,84.65,80.2
PR000034,PO000034,M010,EMP000059,404,400,4,4867,19,86.36,83.51
PR000035,PO000035,M014,EMP000365,306,302,4,4302,18,85.7,84.08
PR000036,PO000036,M016,EMP000103,298,291,7,5978,18,90.3,86.79
PR000037,PO000037,M003,EMP000264,400,393,7,7228,28,83.62,83.43
PR000038,PO000038,M006,EMP000260,367,363,4,5525,20,88.49,83.88
PR000039,PO000039,M009,EMP000277,394,388,6,6308,4,96.96,92.31
PR000040,PO000040,M011,EMP000273,417,412,5,5012,8,95.1,90.85
PR000041,PO000041,M015,EMP000121,340,335,5,4772,12,92.78,92.51
PR000042,PO000042,M018,EMP000320,277,271,6,5560,20,87.43,85.8
PR000043,PO000043,M003,EMP000073,411,404,7,7424,26,84.6,79.61
PR000044,PO000044,M004,EMP000196,321,318,3,4823,8,94.8,94.35
PR000045,PO000045,M008,EMP000022,347,341,6,5558,6,95.37,93.69
PR000046,PO000046,M010,EMP000400,419,415,4,5036,8,94.67,93.36
PR000047,PO000047,M013,EMP000141,326,322,4,4582,18,89.39,85.58
PR000048,PO000048,M016,EMP000089,264,259,5,5302,22,85.37,82.51
PR000049,PO000049,M003,EMP000142,419,414,5,7543,1,98.95,97.74
PR000050,PO000050,M005,EMP000192,374,371,3,5628,18,89.31,86.43
PR000051,PO000051,M009,EMP000205,350,344,6,5616,16,89.03,88.08
PR000052,PO000052,M012,EMP000202,496,492,4,5964,12,93.14,92.29
PR000053,PO000053,M015,EMP000146,315,311,4,4417,7,95.97,92.85
PR000054,PO000054,M017,EMP000008,267,263,4,5343,3,97.71,94.28
PR000055,PO000055,M002,EMP000333,360,356,4,6487,7,94.38,90.68
PR000056,PO000056,M006,EMP000105,337,334,3,5064,9,92.56,88.4
PR000057,PO000057,M007,EMP000267,400,393,7,6422,22,87.84,86.31
PR000058,PO000058,M012,EMP000250,438,434,4,5278,22,87.64,86.58
PR000059,PO000059,M015,EMP000254,297,292,5,4166,8,94.76,91.64
PR000060,PO000060,M017,EMP000398,288,281,7,5770,10,93.82,91.94
PR000061,PO000061,M003,EMP000233,427,422,5,7698,12,90.96,90.66
PR000062,PO000062,M006,EMP000045,345,340,5,5183,8,93.84,91.52
PR000063,PO000063,M007,EMP000286,350,343,7,5629,29,83.13,79.82
PR000064,PO000064,M011,EMP000080,430,425,5,5175,15,88.12,86.66
PR000065,PO000065,M013,EMP000033,282,278,4,3970,22,88.57,86.03
PR000066,PO000066,M018,EMP000417,271,267,4,5424,4,97.37,94.38
PR000067,PO000067,M003,EMP000358,376,370,6,6796,28,85.38,82.58
PR000068,PO000068,M006,EMP000301,364,360,4,5493,33,82.68,81.16
PR000069,PO000069,M007,EMP000391,369,363,6,5910,6,94.65,91.23
PR000070,PO000070,M012,EMP000090,454,450,4,5473,25,87.14,82.25
PR000071,PO000071,M015,EMP000229,297,292,5,4181,23,83.05,81.11
PR000072,PO000072,M017,EMP000182,265,261,4,5302,2,98.84,94.09
PR000073,PO000073,M003,EMP000310,407,400,7,7344,18,87.81,87.12
PR000074,PO000074,M006,EMP000116,361,357,4,5430,15,90.85,86.49
PR000075,PO000075,M007,EMP000402,364,358,6,5842,18,89.09,86.96
PR000076,PO000076,M011,EMP000298,402,398,4,4836,12,92.29,91.63
PR000077,PO000077,M015,EMP000378,301,298,3,4228,14,91.88,90.87
PR000078,PO000078,M016,EMP000266,240,236,4,4812,12,93.71,89.16
PR000079,PO000079,M003,EMP000394,440,433,7,7924,4,97.45,94.17
PR000080,PO000080,M004,EMP000152,312,308,4,4699,19,84.69,82.03
PR000081,PO000081,M008,EMP000312,345,340,5,5547,27,85.13,84.4
PR000082,PO000082,M010,EMP000159,435,431,4,5244,24,87.42,82.61
PR000083,PO000083,M014,EMP000033,299,295,4,4195,9,94.68,91.5
PR000084,PO000084,M016,EMP000172,286,282,4,5740,20,84.58,83.92
PR000085,PO000085,M003,EMP000082,420,414,6,7562,2,98.76,95.73
PR000086,PO000086,M005,EMP000354,356,353,3,5350,10,92.14,92.01
PR000087,PO000087,M007,EMP000032,348,342,6,5574,6,95.26,91.03
PR000088,PO000088,M011,EMP000273,445,441,4,5349,9,93.04,91.1
PR000089,PO000089,M014,EMP000271,331,326,5,4655,21,84.78,82.74
PR000090,PO000090,M016,EMP000376,283,277,6,5664,4,97.73,96.62
PR000091,PO000091,M003,EMP000349,372,365,7,6715,19,85.45,84.56
PR000092,PO000092,M005,EMP000108,347,342,5,5222,17,89.47,86.03
PR000093,PO000093,M007,EMP000382,360,353,7,5764,4,97.09,93.21
PR000094,PO000094,M012,EMP000013,457,452,5,5491,7,96.01,94.04
PR000095,PO000095,M014,EMP000254,295,291,4,4143,13,91.72,88.51
PR000096,PO000096,M017,EMP000114,255,249,6,5122,22,82.65,80.37
PR000097,PO000097,M002,EMP000371,430,422,8,7744,4,96.92,94.23
PR000098,PO000098,M004,EMP000130,373,368,5,5621,26,82.67,78.84
PR000099,PO000099,M007,EMP000170,366,359,7,5878,22,85.23,80.81
PR000100,PO000100,M011,EMP000242,462,457,5,5561,17,86.86,85.39
PR000101,PO000101,M013,EMP000011,323,318,5,4534,12,93.73,91.41
PR000102,PO000102,M016,EMP000227,264,259,5,5306,26,83.54,82.64
PR000103,PO000103,M002,EMP000276,393,388,5,7078,4,97.2,95.23
PR000104,PO000104,M005,EMP000285,358,353,5,5397,27,82.42,77.94
PR000105,PO000105,M009,EMP000117,407,399,8,6515,3,97.0,95.38
PR000106,PO000106,M012,EMP000208,462,459,3,5551,7,94.09,90.42
PR000107,PO000107,M013,EMP000148,309,305,4,4336,10,94.01,93.58
PR000108,PO000108,M016,EMP000398,277,273,4,5551,11,94.36,91.3
PR000109,PO000109,M003,EMP000081,367,362,5,6616,10,91.36,90.51
PR000110,PO000110,M005,EMP000056,311,308,3,4671,6,96.81,96.0
PR000111,PO000111,M009,EMP000170,397,389,8,6358,6,95.08,93.54
PR000112,PO000112,M012,EMP000059,420,415,5,5042,2,98.34,97.44
PR000113,PO000113,M015,EMP000220,282,279,3,3950,2,98.33,94.5
PR000114,PO000114,M016,EMP000315,278,272,6,5575,15,90.46,86.42
PR000115,PO000115,M003,EMP000275,390,384,6,7033,13,90.39,87.09
PR000116,PO000116,M004,EMP000414,376,371,5,5657,17,89.51,89.48
PR000117,PO000117,M009,EMP000382,412,406,6,6614,22,86.73,82.63
PR000118,PO000118,M012,EMP000406,410,407,3,4938,18,85.14,83.39
PR000119,PO000119,M015,EMP000005,338,334,4,4761,29,82.55,79.53
PR000120,PO000120,M017,EMP000281,253,249,4,5081,21,83.49,78.52
PR000121,PO000121,M003,EMP000162,400,394,6,7222,22,86.83,83.33
PR000122,PO000122,M005,EMP000332,354,350,4,5326,16,91.56,87.81
PR000123,PO000123,M009,EMP000362,418,409,9,6719,31,82.61,81.0
PR000124,PO000124,M011,EMP000219,440,437,3,5287,7,95.94,91.72
PR000125,PO000125,M013,EMP000075,330,326,4,4632,12,90.0,85.7
PR000126,PO000126,M018,EMP000085,246,242,4,4935,15,89.03,87.98
PR000127,PO000127,M003,EMP000211,387,383,4,6982,16,91.71,89.07
PR000128,PO000128,M005,EMP000392,320,316,4,4809,9,94.31,90.37
PR000129,PO000129,M007,EMP000126,367,360,7,5892,20,89.26,87.96
PR000130,PO000130,M011,EMP000013,420,416,4,5054,14,92.6,89.53
PR000131,PO000131,M015,EMP000378,310,305,5,4348,8,94.4,90.36
PR000132,PO000132,M018,EMP000227,273,269,4,5480,20,85.96,84.99
PR000133,PO000133,M003,EMP000225,430,425,5,7758,18,89.9,86.21
PR000134,PO000134,M006,EMP000039,317,314,3,4766,11,92.46,92.23
PR000135,PO000135,M008,EMP000408,350,343,7,5605,5,95.7,92.5
PR000136,PO000136,M012,EMP000171,470,465,5,5657,17,86.33,84.83
PR000137,PO000137,M014,EMP000095,308,304,4,4318,6,95.04,93.37
PR000138,PO000138,M016,EMP000155,285,280,5,5716,16,91.67,87.51
PR000139,PO000139,M001,EMP000062,447,441,6,8053,7,96.18,93.78
PR000140,PO000140,M005,EMP000039,368,364,4,5542,22,82.6,81.82
PR000141,PO000141,M008,EMP000044,342,335,7,5478,6,96.71,94.4
PR000142,PO000142,M012,EMP000177,454,450,4,5450,2,97.77,95.16
PR000143,PO000143,M013,EMP000415,272,268,4,3818,10,93.53,93.44
PR000144,PO000144,M016,EMP000156,280,276,4,5623,23,87.64,83.66
